Year_Range,Range_Minimums,Range_Maximums,Midyear,Average_Proportion_Area_Deforested
2000-2003,2000,2003,2001.5,0.0842637968525174
2004-2006,2004,2006,2005.0,0.09793539208031952
2007-2009,2007,2009,2008.0,0.1032630343934633
2010-2012,2010,2012,2011.0,0.1061821018920599
2013-2015,2013,2015,2014.0,0.10816739901450285
2016-2018,2016,2018,2017.0,0.11031825406555212
2019-2021,2019,2021,2020.0,0.11371012145574834
